image_a,image_b,source_id_a,source_id_b,grade_a,grade_b,class_a,class_b,dhash_distance,relationship_type,resolution_status
train/Grade 1/127_jpg.rf.6ed1b6d0b037b932ed1f380669826685.jpg,train/Grade 1/127_jpg.rf.b5fcba0b569254e69617f73b8e96d9db.jpg,127_jpg,127_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/127_jpg.rf.6ed1b6d0b037b932ed1f380669826685.jpg,train/Grade 1/127_jpg.rf.bfbb631c1878db6163acecd6719fe2e1.jpg,127_jpg,127_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/127_jpg.rf.b5fcba0b569254e69617f73b8e96d9db.jpg,train/Grade 1/127_jpg.rf.bfbb631c1878db6163acecd6719fe2e1.jpg,127_jpg,127_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/132_jpg.rf.2c18fdc2fdadb730500c108789f04f06.jpg,train/Grade 1/132_jpg.rf.d1c1cc43b7c6b51380aca2672594a003.jpg,132_jpg,132_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/132_jpg.rf.9fe4d58b5225a568fbad8ff562bcd14b.jpg,train/Grade 1/132_jpg.rf.b014e2196478e42b5247eb985ba610c9.jpg,132_jpg,132_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/132_jpg.rf.d4b5854c9032adae18239cba79575cc4.jpg,train/Grade 1/132_jpg.rf.f95b839aee6d9c9185fdc217dd3252b6.jpg,132_jpg,132_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/135_jpg.rf.a365c51514fa7f3bd4ab107ee0770ab4.jpg,train/Grade 1/135_jpg.rf.f0ae942ef8d62da31f9c51af6fe2cc1f.jpg,135_jpg,135_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/147_jpg.rf.23535e825b57e07b1723ea3589c77b4c.jpg,train/Grade 1/147_jpg.rf.b5c604f3b0e7e44ca3b907279b0888fa.jpg,147_jpg,147_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/147_jpg.rf.ebfae2a666aa0a614036acf48617834a.jpg,train/Grade 1/147_jpg.rf.f5c41c228d0eb957301f9dacac40dc10.jpg,147_jpg,147_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/149_jpg.rf.36a880edc621edf4a6fbe241a4243578.jpg,train/Grade 1/149_jpg.rf.6e9df026013185aa1d84e9251041ebb9.jpg,149_jpg,149_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/149_jpg.rf.36a880edc621edf4a6fbe241a4243578.jpg,train/Grade 1/149_jpg.rf.8509405fafdabca9611abf7eb308b269.jpg,149_jpg,149_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/149_jpg.rf.6e9df026013185aa1d84e9251041ebb9.jpg,train/Grade 1/149_jpg.rf.8509405fafdabca9611abf7eb308b269.jpg,149_jpg,149_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/151_jpg.rf.186dcc69f52c984428f338bd32dcecc2.jpg,train/Grade 1/151_jpg.rf.c81c6aa586dd03f13c8662d866aa3fcd.jpg,151_jpg,151_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/152_jpg.rf.3bf23e8a91f3873b440c71900d73aa48.jpg,train/Grade 1/152_jpg.rf.ee968b0e187475df03bb113b233588f0.jpg,152_jpg,152_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/152_jpg.rf.65cf79a4c4bf708a55290c6099dcfe0a.jpg,train/Grade 1/152_jpg.rf.7c1794578ef8ac72a4b43fe9f3c5ccb4.jpg,152_jpg,152_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/154_jpg.rf.2d0579c3f73a3ec28aea3b802e921e77.jpg,train/Grade 1/154_jpg.rf.8bc5a88e75b2125d833eb9fc1496112a.jpg,154_jpg,154_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/154_jpg.rf.2d0579c3f73a3ec28aea3b802e921e77.jpg,train/Grade 1/154_jpg.rf.cb68dcdf396f7e635041a9cd684c49d7.jpg,154_jpg,154_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/154_jpg.rf.8bc5a88e75b2125d833eb9fc1496112a.jpg,train/Grade 1/154_jpg.rf.cb68dcdf396f7e635041a9cd684c49d7.jpg,154_jpg,154_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/156_jpg.rf.0153ce2d63721bd91ab6401f2ad65c36.jpg,train/Grade 1/156_jpg.rf.ccf8cc3e1f78b6997e50c68078cdef4e.jpg,156_jpg,156_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/170_jpg.rf.1a214613628d8516fe41dbaeff45004c.jpg,train/Grade 1/170_jpg.rf.60b05c642f8d9c04cf26f603ba545530.jpg,170_jpg,170_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/170_jpg.rf.1a214613628d8516fe41dbaeff45004c.jpg,train/Grade 1/170_jpg.rf.718b5dd0e49590b3e2f220cfd8970691.jpg,170_jpg,170_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/170_jpg.rf.60b05c642f8d9c04cf26f603ba545530.jpg,train/Grade 1/170_jpg.rf.718b5dd0e49590b3e2f220cfd8970691.jpg,170_jpg,170_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/181_jpg.rf.031bcc10578dc80217cde827fd9f0196.jpg,train/Grade 1/181_jpg.rf.e9d18a4f7aa5295c43762b74b6865f73.jpg,181_jpg,181_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/182_jpg.rf.a4c8f62920b1295e124aea3e182043d4.jpg,train/Grade 1/182_jpg.rf.e56968d350f04bd7e93d5e6758dd0d87.jpg,182_jpg,182_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/182_jpg.rf.a4c8f62920b1295e124aea3e182043d4.jpg,train/Grade 1/182_jpg.rf.e5803e2b32e45de487d275fbb26c597f.jpg,182_jpg,182_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/182_jpg.rf.e56968d350f04bd7e93d5e6758dd0d87.jpg,train/Grade 1/182_jpg.rf.e5803e2b32e45de487d275fbb26c597f.jpg,182_jpg,182_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/185_jpg.rf.0d24bbbcfc0ab87b0818c16ac84acef3.jpg,train/Grade 1/185_jpg.rf.d265641bb06364c7ef3cbfcc7fef8fbd.jpg,185_jpg,185_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/185_jpg.rf.9e7f606283f7024d83ecea98e1900e95.jpg,train/Grade 1/185_jpg.rf.d99d63cb12f0c4edb789f233b6447220.jpg,185_jpg,185_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/185_jpg.rf.9e7f606283f7024d83ecea98e1900e95.jpg,train/Grade 1/185_jpg.rf.e9254460a14750255dec53add1cb14c6.jpg,185_jpg,185_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/185_jpg.rf.d99d63cb12f0c4edb789f233b6447220.jpg,train/Grade 1/185_jpg.rf.e9254460a14750255dec53add1cb14c6.jpg,185_jpg,185_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/186_jpg.rf.15971791129cf4d4d16777ede0729970.jpg,train/Grade 1/186_jpg.rf.231692f7c2f70cc37ee43142d24a3e8c.jpg,186_jpg,186_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/186_jpg.rf.15971791129cf4d4d16777ede0729970.jpg,train/Grade 1/186_jpg.rf.883efacf72183610ef8363a46e05cd47.jpg,186_jpg,186_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/186_jpg.rf.231692f7c2f70cc37ee43142d24a3e8c.jpg,train/Grade 1/186_jpg.rf.883efacf72183610ef8363a46e05cd47.jpg,186_jpg,186_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/188_jpg.rf.1850bfe57eaa8f89efb86d6559b30981.jpg,train/Grade 1/188_jpg.rf.337a120af0e452ab63f02e357b3d43cb.jpg,188_jpg,188_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/198_jpg.rf.1c394ffd6c66fb8d5740de8f2f4121da.jpg,train/Grade 1/198_jpg.rf.bca597ff95e4e3bbc097d7a32abc861e.jpg,198_jpg,198_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/223_jpg.rf.0e806fc423ad5889b3512e4eef6ec022.jpg,train/Grade 1/223_jpg.rf.d0940cb100dfc6b899f6c58f87225295.jpg,223_jpg,223_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/223_jpg.rf.163949b2c6044fe6553b8e431928d0c7.jpg,train/Grade 1/223_jpg.rf.765bb5de683457b3e4707a680c01f35b.jpg,223_jpg,223_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/225_jpg.rf.00e0f60f83c66323b49916cd3cf77890.jpg,train/Grade 1/225_jpg.rf.c0a861c6542f00c83d8ad0349bd70c75.jpg,225_jpg,225_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/225_jpg.rf.0d21955e8d57e251fe31beaedc467911.jpg,train/Grade 1/225_jpg.rf.c3c035c65082622ab8b76936adf71b98.jpg,225_jpg,225_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/232_jpg.rf.1c54afd392bad331bcf697dcfe1dec00.jpg,train/Grade 1/232_jpg.rf.7180a65a30699948a05c968088dbc195.jpg,232_jpg,232_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/232_jpg.rf.71a46e55d84010428260cfa8f2dcbcef.jpg,train/Grade 1/232_jpg.rf.73d74d25c59e99c621b2ed30ce55c5d1.jpg,232_jpg,232_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/232_jpg.rf.89edb2687f2cc932d412158bce12b527.jpg,train/Grade 1/232_jpg.rf.d4b8982220913d479ee78566b9cca7f9.jpg,232_jpg,232_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/236_jpg.rf.0ad5187b67c5e146f70df577182c8dc8.jpg,train/Grade 1/236_jpg.rf.876ac66e38acf99bc093e0d68aa0aa88.jpg,236_jpg,236_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/236_jpg.rf.0e57c23e3c1044973f62d64e19b4ca06.jpg,train/Grade 1/236_jpg.rf.629a905caa0f1bcfd6fbb42c2ef3efc1.jpg,236_jpg,236_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/237_jpg.rf.36ca8b9f027890d60adadac51cbf0670.jpg,train/Grade 1/237_jpg.rf.60f3ea2c5fbc70535007c86aa2b61bf8.jpg,237_jpg,237_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/237_jpg.rf.36ca8b9f027890d60adadac51cbf0670.jpg,train/Grade 1/237_jpg.rf.cf01d51c1b17f1f584d752263dc184c4.jpg,237_jpg,237_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/237_jpg.rf.60f3ea2c5fbc70535007c86aa2b61bf8.jpg,train/Grade 1/237_jpg.rf.cf01d51c1b17f1f584d752263dc184c4.jpg,237_jpg,237_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/237_jpg.rf.c6dcbd476756efc0e168c49493a690ed.jpg,train/Grade 1/237_jpg.rf.d033624d7e17b6982bcc04fb20b3b47f.jpg,237_jpg,237_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/238_jpg.rf.17c5b7c77c44e02446872ade6152aa78.jpg,train/Grade 1/238_jpg.rf.86a1133786c8e37a6f5ec66579cc401e.jpg,238_jpg,238_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/238_jpg.rf.17c5b7c77c44e02446872ade6152aa78.jpg,train/Grade 1/238_jpg.rf.e527f7b6e2d56685aa1994e50ca05ccd.jpg,238_jpg,238_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/238_jpg.rf.86a1133786c8e37a6f5ec66579cc401e.jpg,train/Grade 1/238_jpg.rf.e527f7b6e2d56685aa1994e50ca05ccd.jpg,238_jpg,238_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/240_F_214198906_xKY39M1gdfq0dhoyLlik7dSrIRdiacQO_jpg.rf.33829f2eb06f5b4445f1e120f98f2842.jpg,train/Grade 1/240_F_214198906_xKY39M1gdfq0dhoyLlik7dSrIRdiacQO_jpg.rf.6409c1af175e26b7d7e8bbc809e1c542.jpg,240_F_214198906_xKY39M1gdfq0dhoyLlik7dSrIRdiacQO_jpg,240_F_214198906_xKY39M1gdfq0dhoyLlik7dSrIRdiacQO_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/240_jpg.rf.3b270d908c16d61d920384e3e9f8063a.jpg,train/Grade 1/240_jpg.rf.e6770a6077c92771623d4e67ede1a8d8.jpg,240_jpg,240_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/244_jpg.rf.18b8453177283dce90e5a80ff15a86b6.jpg,train/Grade 1/244_jpg.rf.6a0b3c3523d912ad5d2efe3d7bce21f5.jpg,244_jpg,244_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/244_jpg.rf.18b8453177283dce90e5a80ff15a86b6.jpg,train/Grade 1/244_jpg.rf.7c19cdfa90184c3a91b8ef77b97127c5.jpg,244_jpg,244_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/244_jpg.rf.1e1fc71e7df7b1c7af3c558e1ced39f4.jpg,train/Grade 1/244_jpg.rf.f97e2fe043c12afb7426f22438b67d93.jpg,244_jpg,244_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/244_jpg.rf.49d395b621dd4e78dec9cf72491367e4.jpg,train/Grade 1/244_jpg.rf.7c19cdfa90184c3a91b8ef77b97127c5.jpg,244_jpg,244_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/244_jpg.rf.6a0b3c3523d912ad5d2efe3d7bce21f5.jpg,train/Grade 1/244_jpg.rf.7c19cdfa90184c3a91b8ef77b97127c5.jpg,244_jpg,244_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/267_jpg.rf.7c7508c122fe8b0bcdc1968902ffd9f2.jpg,train/Grade 1/267_jpg.rf.967aa08863e879a4d1e6e34b65a25081.jpg,267_jpg,267_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/267_jpg.rf.7c7508c122fe8b0bcdc1968902ffd9f2.jpg,train/Grade 1/267_jpg.rf.b011347af3e9fcbe731e08dd42646e82.jpg,267_jpg,267_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/267_jpg.rf.967aa08863e879a4d1e6e34b65a25081.jpg,train/Grade 1/267_jpg.rf.b011347af3e9fcbe731e08dd42646e82.jpg,267_jpg,267_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/274_jpg.rf.2d686d4351737481ee340808fd06d382.jpg,train/Grade 1/274_jpg.rf.bb39197f1e827e8acc3193eb4601954d.jpg,274_jpg,274_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/274_jpg.rf.4b1b7e0cef05176770acbec1c80849c1.jpg,train/Grade 1/274_jpg.rf.bb39197f1e827e8acc3193eb4601954d.jpg,274_jpg,274_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/274_jpg.rf.4b1b7e0cef05176770acbec1c80849c1.jpg,train/Grade 1/274_jpg.rf.d7f90133b784d48e97e81b1e1f9ddafb.jpg,274_jpg,274_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/274_jpg.rf.bb39197f1e827e8acc3193eb4601954d.jpg,train/Grade 1/274_jpg.rf.d7f90133b784d48e97e81b1e1f9ddafb.jpg,274_jpg,274_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/274_jpg.rf.ce3aa754d7b66f68e47893452b46a7b3.jpg,train/Grade 1/274_jpg.rf.da04e138ef4ba5b184d60371eb13ba0e.jpg,274_jpg,274_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/282_jpg.rf.79e9e4cfd2cbf888d3192d4344dfc2de.jpg,train/Grade 1/282_jpg.rf.8894bd80c40ce769e30a555889a21155.jpg,282_jpg,282_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/282_jpg.rf.a4c479d182a3690e8e77b8d686904b97.jpg,train/Grade 1/282_jpg.rf.e11869ee2bcbd1a2acf1da1f932be8d9.jpg,282_jpg,282_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301001_jpg.rf.26f54d9a0e24b5499ae805c136a1c036.jpg,train/Grade 1/301001_jpg.rf.8d7ec511204e51ce5e61f08bec1fde02.jpg,301001_jpg,301001_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301005_jpg.rf.465f5397ae2230f75d7dfe6cb638c7c1.jpg,train/Grade 1/301005_jpg.rf.8597bf4d6a644ed99a7049a0f466bc17.jpg,301005_jpg,301005_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301123_jpg.rf.405c5404df8aac00ae456d558f8dda42.jpg,train/Grade 1/301123_jpg.rf.a6b689924104971c659e5847a7f2799e.jpg,301123_jpg,301123_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301131_jpg.rf.5f0b15d6c451276cc8274fc74d951a0e.jpg,train/Grade 1/301131_jpg.rf.b77bc3c548b218d1c9d30a20512c3ec2.jpg,301131_jpg,301131_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301187_jpg.rf.57c5170934ad4f4d3c26aacd6e89ee38.jpg,train/Grade 1/301187_jpg.rf.5c88928a4c4303b4bc92162efdb85916.jpg,301187_jpg,301187_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/301187_jpg.rf.82cf743fbcb56e99c9b790543f07b7fa.jpg,train/Grade 1/301187_jpg.rf.f9b20f6543cb96019a6de94aa5c3eb9a.jpg,301187_jpg,301187_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
