image_1,split_1,class_1,image_2,split_2,class_2,match_type,cross_split_leakage,cross_class_conflict,dhash_hamming_distance
train/Grade 3/305759_jpg.rf.513d57e26134fca2942651bd4c5c8147.jpg,train,Grade 3,train/Grade 3/305759_jpg.rf.b285e1d4e097180a8b984fd8b9a7756b.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 3/353_jpg.rf.29e3951c05defb298f107730f7ed9216.jpg,train,Grade 3,train/Grade 3/353_jpg.rf.5ec05228b13fb467a166de8201ce822c.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/353_jpg.rf.29e3951c05defb298f107730f7ed9216.jpg,train,Grade 3,train/Grade 3/353_jpg.rf.ff46dfa438d83a8bd183b4ef788f3af4.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 3/353_jpg.rf.5ec05228b13fb467a166de8201ce822c.jpg,train,Grade 3,train/Grade 3/353_jpg.rf.ff46dfa438d83a8bd183b4ef788f3af4.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 2/303738_jpg.rf.2243575a624440eecea28dc75d14b758.jpg,train,Grade 2,train/Grade 2/303738_jpg.rf.8c9e863fd96e2ab49ee69c24c0bd3cdd.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/20_jpg.rf.ba6b071e90ca85bdee61a1df2286c6a9.jpg,train,Grade 3,train/Grade 3/2_png.rf.d0ff86d32fce25a8e9fcff00d82b0194.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/303603_jpg.rf.6e27f5f61edb03695b7a8c94808108f1.jpg,train,Grade 3,train/Grade 3/303603_jpg.rf.9fef45d452a7295e6a8bd67d6735934b.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 3/303603_jpg.rf.6e27f5f61edb03695b7a8c94808108f1.jpg,train,Grade 3,train/Grade 3/303603_jpg.rf.a8236620cafaaa5029ee9a831c919ca2.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/303603_jpg.rf.9fef45d452a7295e6a8bd67d6735934b.jpg,train,Grade 3,train/Grade 3/303603_jpg.rf.a8236620cafaaa5029ee9a831c919ca2.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 4/372_jpg.rf.46608e09f724920d371cffd7d9f217d9.jpg,train,Grade 4,train/Grade 4/372_jpg.rf.9253fadb0cd4998f78bb6c67aece1770.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 1/115_jpg.rf.7cb54d591b8181f8622cf37cd0aaadd7.jpg,train,Grade 1,train/Grade 1/115_jpg.rf.c0f05c2a661e29c81613ef0c52728127.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 1/410_jpg.rf.4aade362d9bbd193f0e1a995e784e70b.jpg,train,Grade 1,train/Grade 1/410_jpg.rf.859014cc83c6302c53c193ce4d7bb3c1.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 2/126_jpg.rf.a11ce32d73863fc39809722258aae714.jpg,train,Grade 2,train/Grade 2/126_jpg.rf.c0b6a651a73826dabfb2f3dd172de787.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/52373453_1135239593302921_4835848423259242496_n_jpg.rf.1520a2e4451091702a39749588162458.jpg,train,Grade 3,train/Grade 3/52373453_1135239593302921_4835848423259242496_n_jpg.rf.be464f91c14fdf1d2a1fc71c613bf7aa.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/222748d9f97a36c08da91dc46f6f5200_jpg.rf.86e91db9bc544045d4e5a90b7e745fcf.jpg,train,Grade 4,train/Grade 4/222748d9f97a36c08da91dc46f6f5200_jpg.rf.f09c285eea6b4ec044363b1a165dc173.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 1/244_jpg.rf.1e1fc71e7df7b1c7af3c558e1ced39f4.jpg,train,Grade 1,train/Grade 1/244_jpg.rf.f97e2fe043c12afb7426f22438b67d93.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 1/303680_jpg.rf.4151c63e9589137aca5c727adbd1a003.jpg,train,Grade 1,train/Grade 1/303680_jpg.rf.99ebd81f18c76dced7fcf82fe3ecdc97.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 2/215_jpg.rf.0ff338e3ee17e01d102a05a44f8d25e2.jpg,train,Grade 2,train/Grade 2/215_jpg.rf.1e1793fa0ba49e5dfd31c9aec20df506.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 2/303054_jpg.rf.66dc8428725bc92936217cab34e60a53.jpg,train,Grade 2,train/Grade 2/303054_jpg.rf.f82da1800ec04e67b761f645c10d8fe0.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 2/52669909_292819728074291_6340199583842304000_n_jpg.rf.0e578eee5ed792d50b22711c4b6924d8.jpg,train,Grade 2,train/Grade 2/52669909_292819728074291_6340199583842304000_n_jpg.rf.b1afe5bb1593abce44e493b924baed0c.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/51793334_1180076592168559_694132724385972224_n_jpg.rf.3e288cb31a9db5e3310c0d7f20083dd3.jpg,train,Grade 3,train/Grade 3/51793334_1180076592168559_694132724385972224_n_jpg.rf.4813b132e3a81adf477ddc417a888123.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/136_jpg.rf.7f36bb7917200648362672e29980a497.jpg,train,Grade 4,train/Grade 4/136_jpg.rf.bb8910e2d574f0a25a5e0c34cc200463.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/222748d9f97a36c08da91dc46f6f5200_jpg.rf.366a598cd7578e72f5f12f4482358650.jpg,train,Grade 4,train/Grade 4/222748d9f97a36c08da91dc46f6f5200_jpg.rf.aa5d66ff9eede798f91d11effc93c78d.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 4/336_jpg.rf.080b33a9c86730fb445d0ecd40191bef.jpg,train,Grade 4,train/Grade 4/336_jpg.rf.17b513183c0b3d289945bc1b2f501100.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 4/336_jpg.rf.080b33a9c86730fb445d0ecd40191bef.jpg,train,Grade 4,train/Grade 4/336_jpg.rf.d05de8ab7be270aecef6024a1c62818f.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/4916270068439552632_jpg.rf.dedd53f4bffc1c8e601d8576c068d79c.jpg,train,Grade 4,train/Grade 4/51828252_1926211384175067_24937331739852800_n_jpg.rf.d3108317192337e95198ad4118ef4a89.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.3767934df6a2a8cb8a1f4f63eef233ce.jpg,train,Grade 4,train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.399c4374128a70128099dbcca1edd1c0.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.3767934df6a2a8cb8a1f4f63eef233ce.jpg,train,Grade 4,train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.4bfe005ff1f25b0398c86a76df79d8ea.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.399c4374128a70128099dbcca1edd1c0.jpg,train,Grade 4,train/Grade 4/53084622_1543060975838394_486984067993042944_n_jpg.rf.4bfe005ff1f25b0398c86a76df79d8ea.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 1/326_jpg.rf.32bbc86efec8a36c1a6e8f9e0972d40c.jpg,train,Grade 1,train/Grade 1/326_jpg.rf.6aaa87e9a84ae619afa8044ba56b09e7.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 3/4493578528152659698_jpg.rf.173845bf6d8d8df897e5445bd3a0133c.jpg,train,Grade 3,train/Grade 3/4493578528152659698_jpg.rf.cdf281f7c72e3b3d99b82675105c7b06.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 3/4493578528152659698_jpg.rf.173845bf6d8d8df897e5445bd3a0133c.jpg,train,Grade 3,train/Grade 3/52290072_288278388503662_4626597947310604288_n_jpg.rf.a58eb01a7f2b291db19a4a5088db650b.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 3/4493578528152659698_jpg.rf.cdf281f7c72e3b3d99b82675105c7b06.jpg,train,Grade 3,train/Grade 3/52290072_288278388503662_4626597947310604288_n_jpg.rf.a58eb01a7f2b291db19a4a5088db650b.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/406_jpg.rf.67f0493b5c84d2a4229e7f6b4624011e.jpg,train,Grade 4,train/Grade 4/406_jpg.rf.6e0f832acc030e88da03343d49e477b7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/406_jpg.rf.67f0493b5c84d2a4229e7f6b4624011e.jpg,train,Grade 4,train/Grade 4/406_jpg.rf.e46df667aee617d42afda167a5e6decb.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/406_jpg.rf.6e0f832acc030e88da03343d49e477b7.jpg,train,Grade 4,train/Grade 4/406_jpg.rf.e46df667aee617d42afda167a5e6decb.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/501453_jpg.rf.13ea8f084405055b81e31a5c6835501a.jpg,train,Grade 4,train/Grade 4/501453_jpg.rf.4ef34e18b953bd5270141093d76baa6e.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 1/237_jpg.rf.c6dcbd476756efc0e168c49493a690ed.jpg,train,Grade 1,train/Grade 1/237_jpg.rf.d033624d7e17b6982bcc04fb20b3b47f.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 1/478_jpg.rf.21da72018bafcae8af67c650a24f059d.jpg,train,Grade 1,train/Grade 1/478_jpg.rf.e9a474ff63c79540b52826e884263245.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 1/491_jpg.rf.4cc523bd3982675edc532bbf207c3886.jpg,train,Grade 1,train/Grade 1/52766842_553738755138733_4660913657968852992_n_jpg.rf.20e01fc180549160225a0d3dcd59cb84.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 1/52605175_2036653519784616_4603193373434576896_n_jpg.rf.783f98451e8c1918ce043df38fcf306a.jpg,train,Grade 1,train/Grade 1/52605175_2036653519784616_4603193373434576896_n_jpg.rf.83712707081ae206eb31b61d25f61fcb.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 1/a39266877b6897fad51e9383d93daa05-diabetes-weird_jpg.rf.3b2cd3e949441daa81da22a71f8f959e.jpg,train,Grade 1,train/Grade 1/a39266877b6897fad51e9383d93daa05-diabetes-weird_jpg.rf.98a0e660d8671bee4c4ecbe2f814209c.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 2/15_jpg.rf.c768597df8c9009babf7e1127c8e0f2e.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.2765e09668990a7a25f499c81e5301e2.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,0.0
train/Grade 2/15_jpg.rf.c768597df8c9009babf7e1127c8e0f2e.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.3103f3cb29faf7fae64a4c6b875ea590.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,0.0
train/Grade 2/15_jpg.rf.c768597df8c9009babf7e1127c8e0f2e.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.5c9fbc6799c70ed4384d1ae733eaa1fe.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,3.0
train/Grade 2/15_jpg.rf.c768597df8c9009babf7e1127c8e0f2e.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.be908a826d416d5bfbc330ae45c807e7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,4.0
train/Grade 2/15_jpg.rf.f32ebfd3b543dfa74ac9b4b7b0c4b807.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.5c9fbc6799c70ed4384d1ae733eaa1fe.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,4.0
train/Grade 2/15_jpg.rf.f32ebfd3b543dfa74ac9b4b7b0c4b807.jpg,train,Grade 2,train/Grade 4/39_jpg.rf.be908a826d416d5bfbc330ae45c807e7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,True,3.0
train/Grade 2/462_jpg.rf.335dd54679c20381886c7f4ca428cf49.jpg,train,Grade 2,train/Grade 2/462_jpg.rf.eaf17b8a4f6c15b85ad1075ac5119fc0.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 2/462_jpg.rf.41d4352c21514e123e2ff4cb5ee60c06.jpg,train,Grade 2,train/Grade 2/462_jpg.rf.bbb97b4f53c914dde2836db550a1021d.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 2/462_jpg.rf.bbb97b4f53c914dde2836db550a1021d.jpg,train,Grade 2,train/Grade 2/462_jpg.rf.eaf17b8a4f6c15b85ad1075ac5119fc0.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 2/4_png.rf.3c04294d077d3d2b99efdf95f5fd3ea3.jpg,train,Grade 2,train/Grade 2/9_jpg.rf.443c6820e86be03c581bf666106695cf.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 2/4_png.rf.3c04294d077d3d2b99efdf95f5fd3ea3.jpg,train,Grade 2,train/Grade 2/9_jpg.rf.d2f15ee0103c594e6b398f9fa1080cc1.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 2/51800923_402404833902939_2858222923565498368_n_jpg.rf.7a5f0e44136a0263cb315ed90923fdf3.jpg,train,Grade 2,train/Grade 2/51800923_402404833902939_2858222923565498368_n_jpg.rf.a627ba18cac4329e43a53dcf2e7b68b4.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 2/9_jpg.rf.443c6820e86be03c581bf666106695cf.jpg,train,Grade 2,train/Grade 2/9_jpg.rf.d2f15ee0103c594e6b398f9fa1080cc1.jpg,train,Grade 2,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/271_jpg.rf.7cd3447e9a9c5a2f2cb2c701a4dc59f4.jpg,train,Grade 3,train/Grade 3/271_jpg.rf.db3babdea83ac01cd337e2f1cc10e572.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/305351_jpg.rf.6816729e8b093a4c1860a8156dbad766.jpg,train,Grade 3,train/Grade 3/305351_jpg.rf.df7955ddbfb67ff0c2e0fbec2588d14e.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/486_jpg.rf.14ec83f48a8b3158c170ae380912aead.jpg,train,Grade 3,train/Grade 3/486_jpg.rf.ab3a097b7ddd8192cf3dd0c511ffa6e5.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/52109842_405285516886601_4290415047278067712_n_jpg.rf.0a81d04ca49907a0d77c3063382ec896.jpg,train,Grade 3,train/Grade 3/52109842_405285516886601_4290415047278067712_n_jpg.rf.d1b32e3fa7eecd56d9fa3daf70266aa1.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 3/52373453_1135239593302921_4835848423259242496_n_jpg.rf.5a13c38bb813f124b0fdffcc12e66d53.jpg,train,Grade 3,train/Grade 3/52373453_1135239593302921_4835848423259242496_n_jpg.rf.7f8a2dea8f976d084f0a15be1f14701e.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 3/52940660_966274583562322_8984757067071881216_n_jpg.rf.056c89fbf2cfec80cd121ee76e27f59b.jpg,train,Grade 3,train/Grade 3/52940660_966274583562322_8984757067071881216_n_jpg.rf.146a8aba3d700de632984cb6e4aa1855.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/C1_jpg.rf.8300a723ee9852cee2fa065b5e0b35d5.jpg,train,Grade 3,train/Grade 3/C1_jpg.rf.d331e265a40f5fc50ba604a7ca05b3ad.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/141_jpg.rf.05d89fac85f0e78703864bf11b85bdd8.jpg,train,Grade 4,train/Grade 4/141_jpg.rf.496d908f5feb27278a97baab2b423fa0.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/224_jpg.rf.2c29f4f8179bddfa85019d3054f4de80.jpg,train,Grade 4,train/Grade 4/224_jpg.rf.c6278b7264539373b0714f805cfaa7dc.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/304_jpg.rf.06b6938fc6c0f8909b3ff6a27db7f3c8.jpg,train,Grade 4,train/Grade 4/304_jpg.rf.3442e21f055c1841d970662cde4e005d.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/304_jpg.rf.06b6938fc6c0f8909b3ff6a27db7f3c8.jpg,train,Grade 4,train/Grade 4/304_jpg.rf.4f218e6a79e395bf4abf3a687ae1451e.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 4/39_jpg.rf.2765e09668990a7a25f499c81e5301e2.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.3103f3cb29faf7fae64a4c6b875ea590.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/39_jpg.rf.2765e09668990a7a25f499c81e5301e2.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.5c9fbc6799c70ed4384d1ae733eaa1fe.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 4/39_jpg.rf.2765e09668990a7a25f499c81e5301e2.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.be908a826d416d5bfbc330ae45c807e7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/39_jpg.rf.3103f3cb29faf7fae64a4c6b875ea590.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.5c9fbc6799c70ed4384d1ae733eaa1fe.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,3.0
train/Grade 4/39_jpg.rf.3103f3cb29faf7fae64a4c6b875ea590.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.be908a826d416d5bfbc330ae45c807e7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,4.0
train/Grade 4/39_jpg.rf.5c9fbc6799c70ed4384d1ae733eaa1fe.jpg,train,Grade 4,train/Grade 4/39_jpg.rf.be908a826d416d5bfbc330ae45c807e7.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/4916270068439552632_jpg.rf.2b861b4833366de0f225667e463cece8.jpg,train,Grade 4,train/Grade 4/51828252_1926211384175067_24937331739852800_n_jpg.rf.0f8dc86dcf0429afe4fef36c9d099afc.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/4916270068439552632_jpg.rf.2b861b4833366de0f225667e463cece8.jpg,train,Grade 4,train/Grade 4/51828252_1926211384175067_24937331739852800_n_jpg.rf.375d9eb9f81d754892cd8f4ae306907d.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/51828252_1926211384175067_24937331739852800_n_jpg.rf.0f8dc86dcf0429afe4fef36c9d099afc.jpg,train,Grade 4,train/Grade 4/51828252_1926211384175067_24937331739852800_n_jpg.rf.375d9eb9f81d754892cd8f4ae306907d.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 4/51847159_1281628641993421_7737370621532700672_n_jpg.rf.47a31144b0a74e60e1872cb36c1a12c2.jpg,train,Grade 4,train/Grade 4/51847159_1281628641993421_7737370621532700672_n_jpg.rf.6423e7625fa66f9950f0ad764917083e.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 4/52590332_933677237022401_4422700044289835008_n_jpg.rf.07ad782e9aa4afd205d057aa7fee0476.jpg,train,Grade 4,train/Grade 4/52590332_933677237022401_4422700044289835008_n_jpg.rf.bfe8d2bb041a7cc668eca78b4b99fadd.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,1.0
train/Grade 1/303137_jpg.rf.cc62a94fd71a64637aa24ce4a12589e3.jpg,train,Grade 1,train/Grade 1/303137_jpg.rf.df41916dcfbfa4bd5de14a7adbd63eea.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/301041_jpg.rf.5efd9e2988f7efc9e70ae74a644dc941.jpg,train,Grade 3,train/Grade 3/301041_jpg.rf.d4d1996eef6cd5f8576529aa08698c92.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/304188_jpg.rf.3248c54a99df22f96b42adeabc8ccd52.jpg,train,Grade 3,train/Grade 3/304188_jpg.rf.b0022a85b86b4e54cd46ba7852fef787.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 3/304188_jpg.rf.3248c54a99df22f96b42adeabc8ccd52.jpg,train,Grade 3,train/Grade 3/304188_jpg.rf.eb7873b291d4a2cca89149a599ac3735.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 3/304188_jpg.rf.b0022a85b86b4e54cd46ba7852fef787.jpg,train,Grade 3,train/Grade 3/304188_jpg.rf.eb7873b291d4a2cca89149a599ac3735.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 3/52595810_1014501805416572_8447854350839054336_n_jpg.rf.2110341d4418b97301f58184013e95df.jpg,train,Grade 3,train/Grade 3/52595810_1014501805416572_8447854350839054336_n_jpg.rf.ef553d2ac1672f148e82ae2a06a39b57.jpg,train,Grade 3,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 1/301481_jpg.rf.0f6e2a365d336c2827aea982e85d734f.jpg,train,Grade 1,train/Grade 1/301481_jpg.rf.8e3ee741744601feff60a2bcaec33bdc.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
